Omschrijving,Kleur,NFC-Waarde,Fashion-Waarde,Technische-Waarde,Culturele-Waarde,Politieke-Waarde,Economische-Waarde,
,Blue,47,4,2,4,4,4,
,Blue,47,4,2,4,4,4,
,Blue,39,4,4,3,1,2,
,Blue,39,4,4,3,1,2,
,Blue,39,4,4,3,1,2,
,Blue,39,4,4,3,1,2,
,Blue,39,4,4,3,1,2,
,Blue,39,4,4,3,1,2,
,Blue,39,4,4,3,1,2,
,Blue,39,4,4,3,1,2,
,Blue,39,4,4,3,1,2,
,Blue,39,4,4,3,1,2,
,Blue,39,4,4,3,1,2,
Een bar in Italië maakte gebruik van de datingapp Tinder om het ultieme nieuwe lid van de club te vinden. Slechts 1 man kon het hart van de bar veroveren. Dit is een typisch voorbeeld van Status Test, omdat de bar kijkt hoeveel men ervoor over heeft om hun nieuwe clubmember te worden.,Red,52,4,2,4,3,2,
Regensensoren in stoplichten zorgen ervoor dat fietsers minder lang hoeven te wachten in de regen. Dit is een voorbeeld van Beneficial Intelligence, omdat fietsers op deze vervelende momenten (regen/sneeuw) via technologie voorrang krijgen op auto's. Daarnaast is het ook Insider Trading, de gemeente wil dat mensen meer gaan fietsen, dus geven zij een voordeel voor de fietser.,Red,52,4,2,4,3,2,
De Google Driverless Car rijdt volledig op autopilot. In de toekomst zal de auto in verbinding staan met alle verkeerslichten, -tekens en -borden, zodat de hij onbemand en veilig personen kan vervoeren.Dit kan ervoor zorgen dat ook mensen zonder rijbewijs kunnen rijden en dat over 10 jaar niemand meer een rijbewijs nodig heeft.,Red,52,4,2,4,3,2,
De eerste show van Kanye West's Yeezy werd live uitgezonden in verschillende theaters. Hier werd naar afgeteld en als je een glimp op wilde vangen van de show kon je maar beter bij het theater gaan slapen. Wie het eerst kwam, kreeg een ticket. Dit is een manier om te kijken hoeveel moeite de consument wil doen voor jouw product. Uiteindelijk bleek dat mensen het daadwerkelijk waard vonden om zo veel moeite te doen voor deze ervaring.,Red,52,4,2,4,3,2,
,Red,52,4,4,4,3,3,
,Red,52,4,4,4,3,3,
,Red,45,4,4,4,3,3,
,Red,45,4,4,4,3,3,
,Red,45,4,4,4,3,3,
,Red,45,4,4,4,3,3,
,Red,45,4,4,4,3,3,
,Red,45,4,4,4,3,3,
,Red,45,4,4,4,3,3,
,Red,45,4,4,4,3,3,
,Red,45,4,4,4,3,3,
,Red,45,4,4,4,3,3,
,Red,45,4,4,4,3,3,
"Een consument wilt dit voor het gemak, en heeft dit in sommige momenten zelfs nodig (bij haast bijvoorbeeld). ""Save me time"",Blue,50,5,4,3,1,2",
"Dit is een perfect voorbeeld van ""Save me time"", dit is een uitvinding waar mensen op zitten te wachten en écht willen hebben.,Blue,50,5,4,3,1,2",
Dit is een voorbeeld van Inside Trading omdat Google iets intern goed doet voor haar medewerkers. Google stelt gezonde maaltijden op waardoor medewerkers bijvoorbeeld meer energie krijgen.,Blue,50,5,4,3,1,2,
Het was vroeger de normaalste zaak van de wereld dat bedrijven alles voor de consumenten deden, want: de klant is koning. De nieuwe trend is dat klanten zich moeten bewijzen en moeite voor het merk moeten doen, in dit geval moeten consumenten het werk verrichten omdat Apple de mensen die een iPhone 7 hebben een speciale portretmodus testen, de mensen moeten zich ook zelf aanmelden.,Blue,50,5,4,3,1,2,
"Voorheen stond personeel in een winkel vanzelfsprekend voor de consument klaar, en zeker bij de paskamers aangezien zij willen verkopen. Tegenwoordig zie je steeds vaker dat de consument de medewerker om advies moet vragen. Er wordt alleen gezegd dat er advies gegeven kán worden, maar de consument zelf moet hier achteraan gaan.,Blue,50,5,4,3,1,2",
In de paskamer is hét moment wanneer de consument gaat beslissen een aankoop te doen of niet. Op de foto zijn schoenen te zien in de paskamer, die consumenten bij het passen van kleren aan kunnen trekken. Deze kledingwinkel zet deze schoenen op het juiste moment en plaats neer wanneer de consument deze nodig heeft.,Blue,50,5,4,3,1,2,
Een Braziliaans bedrijf genaamd Semco laat haar werknemers hun eigen loon bepalen. Daarnaast zijn er geen verschillende lagen in de organisatiestructuur. Er is als het ware een volledige democratie gevormd binnen de organisatie. Door de werknemers zelf de regie in handen te laten nemen, wordt de interne cultuur beter. En als iedereen intern tevreden is, schijnt dit ook door in de externe communicatie en uitstraling.,Red,52,4,2,4,3,2,
Het Spaanse restaurant Blau Grifeu laat onbeleefde mensen meer betalen, dan beleefde klanten. Voor een koffie betaalt men 5 euro, zegt men alstublieft dan gaat er 2 euro vanaf. Met een beleefde begroeting erbij, scheelt dit je al snel 75% van de prijs. Dit creëert een nieuw perspectief op de waarde van een product.,Red,52,4,2,4,3,2,
Restaurant Geef in Amsterdam laat de bezoeker bepalen wat hij betaalt. Ze willen dat iedereen gezond en lekker kan eten, daarom betaalt de bezoeker wat hij kan missen. Geef is dan ook meer dan een restaurant, het is een social enterprise (non-profitorganisatie). De klant bepaalt dus eigenlijk zelf de waarde van het product, en welk bedrag daar dan aan gekoppeld zou moeten zijn.,Red,52,4,2,4,3,2,
Bij het bedrijf Evernote maken ze gebruik van Anybots. Door deze robots hoeven de medewerkers minder te mailen en te bellen. De Anybots maken het namelijk mogelijk om tussen verschillende vestigingen te communiceren en bij elkaar naar binnen te kijken. Dit zorgt ervoor dat iedere medewerker zich betrokken voelt. Deze robot zorgt voor een betere interne cultuur, op het juiste moment op de juiste plaats aanwezig zijn en technologie als voordeel voor de hele organisatie.,Red,52,4,2,4,3,2,
